date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:09	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/robots.txt		(from )
10:17:09	7643/7643	---M-Z	200	added ('OK')	text/html	etag:%229b194e724a98d814fe2d235a1a3e9b94-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/index.html	(from )
10:17:10	210293/210293	---M-Z	200	added ('OK')	text/css	etag:%22992a1a7c76108b8bbdfdae0922f1453e-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/css/bootstrap-custom.css	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/bootstrap-custom.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:11	57334/57334	---M-Z	200	added ('OK')	text/css	etag:%22f2f4ca73639f33bd03fecb37ba16dc87-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:11	14858/14858	---M-Z	200	added ('OK')	text/css	etag:%22667753df4c13c1e10d3a2a628232653b-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/css/healthcheck.css	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/healthcheck.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:12	199501/199501	---M-Z	200	added ('OK')	text/css	etag:%223d9b3fbbd1a2ea224a3939258dcb7f69-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/css/decanter.css	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/decanter.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:13	8722/8722	---M-Z	200	added ('OK')	text/css	etag:%22e968f0e73104d77308d07dd13e4d363a-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/css/decanter-custom.css	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/decanter-custom.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:13	36536/36536	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/themes/smoothness/jquery-ui.css	C:/Users/danie/Desktop/healthCheck/healthCheck/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/themes/smoothness/jquery-ui.css	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:13	140947/140947	---MC-	200	added ('OK')	text/javascript	date:Sun,%2012%20Sep%202021%2017:17:12%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/danie/Desktop/healthCheck/healthCheck/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:14	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/danie/Desktop/healthCheck/healthCheck/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:14	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/en/	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/en/index.html	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:15	81084/81084	---M-Z	200	added ('OK')	application/javascript	etag:%22867648cb9ce71dbe153a25a44be0ab40-ssl-df%22	https://priceless-lichterman-e1fa9e.netlify.app/js/bootstrap.bundle.min.js	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/js/bootstrap.bundle.min.js	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:15	515/515	---M--	200	added ('OK')	application/javascript	etag:%22ed25217cba51ece66fc4fc0388a20aa4-ssl%22	https://priceless-lichterman-e1fa9e.netlify.app/js/badge.js	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/js/badge.js	(from https://priceless-lichterman-e1fa9e.netlify.app/)
10:17:16	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.eot	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.a.delayed	(from https://priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css)
10:17:17	3048/3048	---M-Z	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.eot?	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.bd41d.delayed	(from https://priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css)
10:17:18	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.woff2	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.c.delayed	(from https://priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css)
10:17:18	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1620705071-ssl-df	https://priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.woff	C:/Users/danie/Desktop/healthCheck/healthCheck/priceless-lichterman-e1fa9e.netlify.app/css/webfonts/fa-brands-400.d.delayed	(from https://priceless-lichterman-e1fa9e.netlify.app/css/font-awesome/all.min.css)
